2665.32-0	2735.61-1	2783.68-2	2681.15-3
158.0	123.0	39.0	68.0
159.0	124.0	40.0	67.0
160.0	125.0	41.0	66.0
175.0	30.0	42.0	65.0
161.0	34.0	43.0	64.0
162.0	35.0	60.0	63.0
163.0	39.0	61.0	62.0
164.0	40.0	118.0	116.0
165.0	41.0	62.0	86.0
166.0	42.0	63.0	85.0
167.0	43.0	64.0	84.0
168.0	60.0	65.0	83.0
169.0	61.0	66.0	82.0
170.0	118.0	67.0	81.0
171.0	62.0	70.0	79.0
172.0	63.0	71.0	80.0
173.0	64.0	72.0	92.0
174.0	65.0	73.0	91.0
107.0	66.0	74.0	90.0
106.0	85.0	75.0	89.0
105.0	86.0	76.0	109.0
104.0	116.0	77.0	108.0
103.0	117.0	78.0	110.0
102.0	115.0	95.0	111.0
101.0	114.0	96.0	112.0
100.0	113.0	97.0	88.0
99.0	87.0	94.0	87.0
98.0	84.0	93.0	113.0
97.0	83.0	98.0	114.0
96.0	88.0	99.0	115.0
95.0	112.0	100.0	117.0
94.0	111.0	168.0	118.0
93.0	110.0	167.0	61.0
92.0	108.0	166.0	60.0
91.0	104.0	165.0	43.0
90.0	105.0	188.0	42.0
89.0	103.0	189.0	41.0
109.0	102.0	190.0	40.0
108.0	101.0	186.0	47.0
110.0	169.0	187.0	46.0
112.0	170.0	185.0	45.0
111.0	172.0	184.0	44.0
114.0	171.0	183.0	59.0
113.0	173.0	182.0	58.0
87.0	106.0	180.0	57.0
84.0	107.0	179.0	56.0
83.0	174.0	147.0	55.0
88.0	175.0	148.0	54.0
82.0	161.0	140.0	53.0
81.0	162.0	141.0	48.0
80.0	163.0	142.0	49.0
79.0	164.0	143.0	52.0
78.0	165.0	146.0	51.0
77.0	166.0	145.0	50.0
75.0	167.0	144.0	37.0
76.0	168.0	200.0	38.0
74.0	100.0	199.0	39.0
73.0	99.0	198.0	35.0
72.0	92.0	197.0	36.0
71.0	91.0	193.0	34.0
70.0	90.0	191.0	33.0
69.0	109.0	192.0	32.0
68.0	89.0	194.0	31.0
67.0	82.0	195.0	30.0
66.0	81.0	196.0	125.0
64.0	79.0	201.0	124.0
63.0	80.0	202.0	126.0
65.0	94.0	203.0	127.0
85.0	93.0	204.0	129.0
86.0	98.0	205.0	130.0
116.0	97.0	206.0	131.0
115.0	96.0	208.0	20.0
117.0	95.0	207.0	21.0
118.0	78.0	212.0	128.0
62.0	77.0	211.0	29.0
61.0	75.0	214.0	28.0
60.0	76.0	213.0	27.0
43.0	74.0	216.0	26.0
42.0	73.0	215.0	22.0
41.0	72.0	218.0	25.0
40.0	71.0	217.0	23.0
47.0	70.0	220.0	24.0
46.0	67.0	221.0	17.0
45.0	69.0	222.0	18.0
44.0	68.0	219.0	19.0
59.0	58.0	223.0	132.0
58.0	59.0	224.0	133.0
57.0	44.0	225.0	134.0
56.0	57.0	226.0	270.0
55.0	56.0	227.0	269.0
54.0	45.0	234.0	135.0
53.0	46.0	235.0	136.0
52.0	55.0	236.0	268.0
51.0	54.0	233.0	267.0
50.0	47.0	232.0	137.0
49.0	48.0	237.0	138.0
48.0	53.0	238.0	139.0
39.0	52.0	231.0	149.0
38.0	51.0	246.0	148.0
37.0	50.0	239.0	147.0
36.0	49.0	240.0	146.0
35.0	38.0	241.0	145.0
34.0	37.0	242.0	144.0
33.0	36.0	243.0	143.0
32.0	33.0	244.0	142.0
31.0	32.0	245.0	141.0
30.0	31.0	247.0	140.0
29.0	29.0	248.0	266.0
28.0	28.0	249.0	265.0
27.0	27.0	250.0	264.0
26.0	26.0	251.0	263.0
22.0	22.0	230.0	262.0
25.0	25.0	229.0	261.0
23.0	23.0	228.0	259.0
24.0	24.0	210.0	260.0
14.0	14.0	209.0	276.0
13.0	13.0	252.0	275.0
12.0	12.0	253.0	274.0
11.0	15.0	254.0	273.0
15.0	16.0	255.0	272.0
16.0	271.0	256.0	271.0
271.0	272.0	257.0	16.0
272.0	273.0	258.0	15.0
273.0	274.0	259.0	14.0
274.0	275.0	260.0	13.0
275.0	276.0	261.0	12.0
276.0	9.0	262.0	11.0
9.0	11.0	272.0	10.0
10.0	10.0	273.0	8.0
8.0	8.0	274.0	9.0
7.0	7.0	275.0	7.0
6.0	6.0	276.0	6.0
5.0	5.0	277.0	5.0
4.0	4.0	4.0	4.0
277.0	277.0	278.0	277.0
278.0	278.0	279.0	278.0
279.0	279.0	3.0	279.0
3.0	3.0	280.0	3.0
280.0	280.0	2.0	280.0
1.0	1.0	1.0	1.0
