2705.09-0	2646.79-1	2640.72-2	2646.22-3	2657.67-4
92.0	171.0	58.0	269.0	171.0
91.0	168.0	57.0	268.0	172.0
90.0	167.0	56.0	267.0	164.0
104.0	166.0	55.0	266.0	163.0
105.0	165.0	54.0	265.0	162.0
106.0	164.0	53.0	140.0	161.0
107.0	163.0	52.0	141.0	175.0
173.0	162.0	51.0	142.0	160.0
174.0	161.0	50.0	143.0	159.0
162.0	182.0	37.0	144.0	158.0
163.0	183.0	36.0	200.0	157.0
164.0	184.0	35.0	202.0	119.0
165.0	185.0	34.0	203.0	120.0
188.0	186.0	33.0	204.0	121.0
187.0	187.0	32.0	205.0	122.0
185.0	188.0	31.0	206.0	123.0
186.0	189.0	29.0	207.0	124.0
189.0	190.0	28.0	208.0	125.0
190.0	191.0	27.0	253.0	30.0
191.0	192.0	26.0	254.0	34.0
192.0	193.0	22.0	264.0	33.0
193.0	197.0	25.0	263.0	32.0
194.0	194.0	23.0	262.0	31.0
195.0	195.0	24.0	261.0	29.0
196.0	196.0	14.0	260.0	28.0
197.0	201.0	15.0	259.0	27.0
198.0	198.0	13.0	258.0	26.0
199.0	199.0	12.0	257.0	22.0
145.0	145.0	11.0	256.0	25.0
146.0	146.0	10.0	255.0	23.0
143.0	147.0	8.0	252.0	24.0
144.0	142.0	7.0	209.0	14.0
200.0	143.0	9.0	210.0	13.0
201.0	144.0	275.0	211.0	15.0
202.0	200.0	274.0	212.0	12.0
203.0	202.0	273.0	213.0	11.0
204.0	203.0	272.0	214.0	10.0
205.0	204.0	271.0	215.0	8.0
206.0	205.0	16.0	216.0	9.0
207.0	206.0	17.0	217.0	7.0
212.0	207.0	18.0	218.0	6.0
211.0	212.0	19.0	219.0	5.0
214.0	213.0	20.0	220.0	4.0
213.0	214.0	131.0	221.0	277.0
216.0	215.0	132.0	222.0	276.0
215.0	216.0	133.0	223.0	275.0
218.0	217.0	134.0	224.0	274.0
217.0	218.0	270.0	225.0	273.0
219.0	219.0	269.0	226.0	272.0
220.0	220.0	135.0	227.0	271.0
221.0	221.0	136.0	228.0	16.0
222.0	222.0	268.0	229.0	270.0
223.0	223.0	267.0	230.0	269.0
224.0	224.0	137.0	251.0	268.0
225.0	225.0	138.0	250.0	267.0
226.0	226.0	139.0	249.0	265.0
227.0	227.0	149.0	248.0	264.0
233.0	234.0	148.0	247.0	263.0
234.0	235.0	147.0	244.0	262.0
235.0	236.0	142.0	245.0	261.0
236.0	233.0	141.0	246.0	260.0
232.0	232.0	140.0	231.0	259.0
237.0	237.0	266.0	232.0	258.0
238.0	238.0	265.0	233.0	257.0
231.0	231.0	264.0	234.0	254.0
246.0	246.0	263.0	235.0	253.0
239.0	239.0	262.0	236.0	252.0
240.0	240.0	261.0	237.0	255.0
245.0	245.0	259.0	238.0	256.0
247.0	247.0	260.0	239.0	249.0
244.0	244.0	276.0	240.0	248.0
241.0	241.0	277.0	241.0	278.0
243.0	243.0	4.0	243.0	279.0
242.0	242.0	6.0	242.0	3.0
2.0	2.0	5.0	2.0	280.0
1.0	1.0	1.0	1.0	1.0
