2610.03-0	2627.35-1	2668.22-2
50.0	170.0	78.0
49.0	172.0	77.0
48.0	171.0	75.0
47.0	173.0	76.0
46.0	174.0	74.0
45.0	107.0	73.0
44.0	106.0	72.0
59.0	105.0	71.0
62.0	104.0	70.0
63.0	103.0	67.0
64.0	102.0	69.0
65.0	101.0	68.0
66.0	100.0	58.0
85.0	99.0	59.0
86.0	98.0	44.0
116.0	97.0	57.0
115.0	96.0	56.0
117.0	95.0	45.0
118.0	94.0	46.0
61.0	93.0	55.0
60.0	92.0	54.0
43.0	91.0	47.0
42.0	90.0	48.0
41.0	89.0	53.0
40.0	109.0	52.0
39.0	108.0	51.0
38.0	110.0	50.0
37.0	111.0	49.0
36.0	114.0	38.0
35.0	113.0	37.0
34.0	112.0	36.0
33.0	88.0	35.0
32.0	87.0	39.0
31.0	84.0	40.0
30.0	83.0	41.0
125.0	82.0	42.0
124.0	81.0	43.0
123.0	80.0	60.0
122.0	79.0	61.0
121.0	78.0	118.0
120.0	77.0	62.0
119.0	75.0	63.0
157.0	76.0	64.0
158.0	74.0	66.0
159.0	73.0	65.0
160.0	72.0	86.0
176.0	71.0	85.0
177.0	70.0	84.0
178.0	67.0	87.0
151.0	69.0	113.0
152.0	68.0	116.0
156.0	58.0	117.0
153.0	57.0	115.0
155.0	56.0	114.0
154.0	55.0	111.0
129.0	54.0	110.0
128.0	53.0	112.0
127.0	52.0	88.0
126.0	51.0	83.0
29.0	50.0	82.0
28.0	49.0	81.0
27.0	48.0	79.0
26.0	47.0	80.0
22.0	46.0	92.0
25.0	45.0	91.0
23.0	44.0	90.0
24.0	59.0	89.0
14.0	62.0	109.0
15.0	63.0	108.0
13.0	64.0	104.0
12.0	66.0	103.0
11.0	65.0	105.0
10.0	85.0	107.0
9.0	86.0	106.0
8.0	116.0	173.0
7.0	115.0	174.0
6.0	117.0	161.0
5.0	118.0	175.0
4.0	61.0	160.0
277.0	60.0	159.0
276.0	43.0	158.0
275.0	42.0	157.0
274.0	41.0	119.0
273.0	40.0	120.0
272.0	39.0	121.0
271.0	38.0	122.0
16.0	37.0	123.0
17.0	36.0	124.0
18.0	35.0	125.0
19.0	34.0	30.0
20.0	33.0	34.0
21.0	32.0	33.0
130.0	31.0	32.0
131.0	30.0	31.0
132.0	29.0	29.0
133.0	28.0	28.0
134.0	27.0	27.0
270.0	26.0	26.0
269.0	22.0	22.0
135.0	25.0	25.0
136.0	23.0	23.0
268.0	24.0	24.0
267.0	14.0	14.0
137.0	13.0	13.0
138.0	12.0	12.0
266.0	11.0	11.0
265.0	15.0	15.0
264.0	16.0	16.0
263.0	271.0	271.0
262.0	272.0	272.0
261.0	273.0	273.0
260.0	274.0	274.0
259.0	275.0	275.0
258.0	276.0	276.0
257.0	9.0	9.0
254.0	10.0	10.0
253.0	8.0	8.0
252.0	7.0	7.0
255.0	6.0	6.0
256.0	5.0	5.0
249.0	4.0	4.0
248.0	277.0	277.0
278.0	278.0	278.0
279.0	279.0	279.0
3.0	3.0	3.0
280.0	280.0	280.0
1.0	1.0	1.0
