2728.73-0	2606.99-1	2634.7-2	2642.22-3	2629.76-4
165.0	83.0	85.0	35.0	179.0
164.0	84.0	86.0	39.0	150.0
163.0	85.0	116.0	40.0	178.0
162.0	86.0	113.0	41.0	177.0
161.0	116.0	114.0	42.0	151.0
175.0	117.0	115.0	43.0	152.0
160.0	115.0	117.0	60.0	156.0
159.0	114.0	118.0	61.0	153.0
158.0	113.0	62.0	118.0	155.0
157.0	87.0	61.0	117.0	154.0
119.0	88.0	60.0	115.0	129.0
120.0	112.0	43.0	114.0	130.0
121.0	111.0	42.0	113.0	131.0
122.0	110.0	41.0	116.0	20.0
123.0	109.0	40.0	86.0	21.0
124.0	108.0	39.0	85.0	128.0
125.0	104.0	38.0	87.0	127.0
126.0	103.0	35.0	84.0	126.0
127.0	105.0	36.0	83.0	125.0
128.0	106.0	37.0	82.0	124.0
129.0	107.0	50.0	88.0	123.0
130.0	174.0	51.0	112.0	122.0
21.0	173.0	52.0	111.0	121.0
20.0	171.0	49.0	110.0	120.0
131.0	172.0	48.0	108.0	119.0
132.0	170.0	53.0	104.0	157.0
19.0	169.0	54.0	105.0	158.0
18.0	102.0	47.0	106.0	159.0
17.0	101.0	46.0	107.0	160.0
133.0	99.0	55.0	173.0	175.0
134.0	100.0	56.0	174.0	161.0
270.0	168.0	45.0	161.0	162.0
269.0	167.0	44.0	175.0	174.0
135.0	166.0	57.0	160.0	173.0
136.0	165.0	58.0	159.0	106.0
268.0	164.0	59.0	158.0	107.0
267.0	163.0	63.0	157.0	105.0
137.0	162.0	64.0	119.0	104.0
138.0	161.0	65.0	120.0	108.0
266.0	175.0	66.0	121.0	110.0
265.0	160.0	67.0	122.0	111.0
140.0	159.0	68.0	123.0	114.0
139.0	158.0	69.0	124.0	115.0
141.0	157.0	70.0	125.0	117.0
142.0	119.0	71.0	30.0	116.0
147.0	120.0	72.0	34.0	86.0
148.0	121.0	73.0	33.0	85.0
149.0	122.0	74.0	32.0	84.0
150.0	123.0	76.0	31.0	87.0
154.0	124.0	75.0	29.0	113.0
155.0	125.0	77.0	28.0	112.0
153.0	30.0	78.0	27.0	88.0
156.0	126.0	95.0	26.0	83.0
152.0	127.0	96.0	22.0	82.0
151.0	128.0	97.0	25.0	81.0
178.0	129.0	94.0	23.0	79.0
177.0	154.0	93.0	24.0	80.0
176.0	155.0	98.0	14.0	89.0
179.0	153.0	99.0	13.0	109.0
180.0	156.0	100.0	15.0	90.0
181.0	152.0	101.0	12.0	91.0
182.0	151.0	102.0	11.0	92.0
183.0	177.0	169.0	10.0	103.0
184.0	178.0	170.0	8.0	102.0
185.0	150.0	172.0	9.0	169.0
187.0	179.0	171.0	7.0	170.0
186.0	180.0	168.0	6.0	171.0
188.0	176.0	167.0	5.0	172.0
189.0	181.0	166.0	4.0	166.0
190.0	182.0	165.0	277.0	167.0
191.0	183.0	164.0	276.0	168.0
192.0	184.0	163.0	275.0	100.0
193.0	185.0	162.0	274.0	101.0
197.0	186.0	161.0	273.0	99.0
194.0	187.0	182.0	272.0	98.0
195.0	188.0	183.0	271.0	93.0
196.0	189.0	184.0	16.0	94.0
201.0	190.0	185.0	17.0	97.0
198.0	191.0	186.0	18.0	96.0
199.0	192.0	187.0	133.0	95.0
145.0	193.0	188.0	19.0	78.0
146.0	197.0	189.0	132.0	77.0
143.0	194.0	190.0	131.0	75.0
144.0	195.0	191.0	20.0	76.0
200.0	196.0	192.0	21.0	74.0
202.0	201.0	193.0	130.0	73.0
203.0	198.0	197.0	129.0	72.0
204.0	199.0	194.0	128.0	71.0
205.0	145.0	195.0	127.0	70.0
206.0	146.0	196.0	126.0	69.0
207.0	147.0	201.0	154.0	68.0
208.0	148.0	198.0	155.0	67.0
253.0	149.0	199.0	153.0	66.0
252.0	139.0	145.0	156.0	65.0
255.0	140.0	146.0	152.0	64.0
254.0	141.0	147.0	151.0	63.0
264.0	142.0	142.0	178.0	62.0
263.0	143.0	143.0	177.0	118.0
262.0	144.0	144.0	176.0	61.0
261.0	200.0	200.0	181.0	60.0
260.0	202.0	202.0	180.0	43.0
259.0	203.0	203.0	179.0	42.0
258.0	204.0	204.0	150.0	41.0
257.0	205.0	205.0	149.0	40.0
256.0	206.0	206.0	148.0	39.0
249.0	207.0	207.0	147.0	48.0
248.0	208.0	208.0	142.0	47.0
247.0	209.0	209.0	141.0	46.0
250.0	210.0	210.0	140.0	45.0
251.0	211.0	211.0	139.0	44.0
230.0	212.0	212.0	138.0	59.0
229.0	213.0	213.0	137.0	58.0
209.0	214.0	214.0	136.0	57.0
210.0	215.0	215.0	135.0	56.0
211.0	216.0	216.0	134.0	55.0
212.0	217.0	217.0	270.0	54.0
213.0	218.0	218.0	269.0	53.0
214.0	219.0	219.0	268.0	52.0
215.0	220.0	220.0	267.0	51.0
216.0	221.0	221.0	266.0	50.0
217.0	222.0	222.0	265.0	49.0
218.0	223.0	223.0	264.0	38.0
219.0	224.0	224.0	263.0	37.0
220.0	225.0	225.0	262.0	36.0
221.0	226.0	226.0	261.0	35.0
222.0	227.0	227.0	260.0	34.0
223.0	228.0	228.0	259.0	33.0
224.0	229.0	229.0	258.0	32.0
225.0	230.0	232.0	257.0	31.0
226.0	251.0	233.0	256.0	30.0
227.0	250.0	234.0	255.0	29.0
228.0	247.0	235.0	252.0	28.0
234.0	245.0	236.0	254.0	27.0
235.0	246.0	237.0	253.0	26.0
236.0	231.0	238.0	208.0	22.0
233.0	232.0	239.0	209.0	25.0
232.0	233.0	240.0	210.0	23.0
237.0	234.0	245.0	211.0	24.0
238.0	235.0	246.0	228.0	14.0
231.0	236.0	231.0	229.0	13.0
246.0	237.0	230.0	230.0	15.0
239.0	238.0	251.0	251.0	12.0
240.0	239.0	250.0	250.0	11.0
245.0	240.0	247.0	249.0	10.0
244.0	241.0	244.0	248.0	9.0
241.0	244.0	241.0	278.0	8.0
243.0	243.0	243.0	279.0	7.0
242.0	242.0	242.0	3.0	6.0
2.0	2.0	2.0	280.0	5.0
1.0	1.0	1.0	1.0	1.0
